Name;Price;Link;Img;Color;Category;Subcategory
"REGULAR FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p05585401.html?v1=506560584&v2=2640740";"https://static.zara.net/assets/public/38b2/645e/210e42f292ce/8095a1271050/05585401400-a1/05585401400-a1.jpg?ts=1771594132055&w=302";"NO_COLOR";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048440.html?v1=495707338&v2=2640740";"https://static.zara.net/assets/public/14ab/158a/366b428da7fc/0d3eaea8243a/04048440802-000-a1/04048440802-000-a1.jpg?ts=1771934926781&w=302";"Grey";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048340.html?v1=495689167&v2=2640740";"https://static.zara.net/assets/public/8a3c/93cd/48da44fc8ce1/cc51eef0030f/04048340406-000-a1/04048340406-000-a1.jpg?ts=1772014040325&w=302";"Light blue";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p05585430.html?v1=497997390&v2=2640740";"https://static.zara.net/assets/public/1daf/c4fa/ffd54c9683c8/f5d8c3a70ac9/05585430400-000-a1/05585430400-000-a1.jpg?ts=1772014089124&w=302";"NO_COLOR";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048440.html?v1=495707341&v2=2640740";"https://static.zara.net/assets/public/1796/3762/eedf4a9ba9ef/31d45726ccbf/04048440250-000-a1/04048440250-000-a1.jpg?ts=1771934926766&w=302";"White";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048440.html?v1=495707339&v2=2640740";"https://static.zara.net/assets/public/bca3/731c/691344a8b5f1/70e6115daefb/04048440406-000-a1/04048440406-000-a1.jpg?ts=1771934926958&w=302";"Light blue";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048340.html?v1=495689163&v2=2640740";"https://static.zara.net/assets/public/27a4/fd6e/c69449e7931a/11adea72bd3a/04048340700-000-a1/04048340700-000-a1.jpg?ts=1772014040906&w=302";"Brown";"JEANS";"REGULAR"
"BASIC SLIM FIT JEANS";"109.00 PLN";"https://www.zara.com/pl/en/basic-slim-fit-jeans-p00774350.html?v1=495680327&v2=2432133";"https://static.zara.net/assets/public/1386/8b70/46de4112a7de/9fac59cd01c0/00774350427-000-a1/00774350427-000-a1.jpg?ts=1771934856297&w=302";"Mid-blue";"JEANS";"SLIM"
"BASIC SLIM FIT JEANS";"109.00 PLN";"https://www.zara.com/pl/en/basic-slim-fit-jeans-p00774350.html?v1=495680325&v2=2432133";"https://static.zara.net/assets/public/18a9/1b69/9a3247e093ef/8f909ca00d81/00774350800-000-a1/00774350800-000-a1.jpg?ts=1771934856596&w=302";"Black";"JEANS";"SLIM"
"SLIM TAPERED FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/slim-tapered-fit-jeans-p04060402.html?v1=495684270&v2=2432133";"https://static.zara.net/assets/public/704c/a89b/059441f48b8d/0d58f87f9264/04060402427-000-a1/04060402427-000-a1.jpg?ts=1771934931761&w=302";"Mid-blue";"JEANS";"SLIM"
"SLIM CROPPED FIT JEANS";"109.00 PLN";"https://www.zara.com/pl/en/slim-cropped-fit-jeans-p04806400.html?v1=495712139&v2=2432133";"https://static.zara.net/assets/public/b7e8/1aad/26d14a2fb606/019663cb7969/04806400822-000-a1/04806400822-000-a1.jpg?ts=1772014070791&w=302";"NO_COLOR";"JEANS";"SLIM"
"SLIM CROPPED FIT JEANS";"109.00 PLN";"https://www.zara.com/pl/en/slim-cropped-fit-jeans-p04806400.html?v1=495712141&v2=2432133";"https://static.zara.net/assets/public/de19/48fd/97174022a9f7/e1d41593c112/04806400406-000-a1/04806400406-000-a1.jpg?ts=1771934964249&w=302";"Light blue";"JEANS";"SLIM"
